ID	gram	ungram	label	source
0	Студент медленно перечитывал свою работу. Он боялся, когда бы не пропустить ошибку.	Студент медленно перечитывал свою работу. Он боялся, как бы не пропустить ошибку.	союз_подч	torfl_C1
1	Я учусь на историческом факультете, и мой друг на экономическом.	Я учусь на историческом факультете, а мой друг на экономическом.	союз_соч	torfl_B1
2	В данной инструкции мы хотим приписать порядок выполнения работы и правила заполнения бланков.	В данной инструкции мы хотим прописать порядок выполнения работы и правила заполнения бланков.	лекс_глаг	torfl_С1
3	Он не назвал причин своего отказа.	Причины своего отказа остались неизвестны.	anaphor	RuConst
4	Ты ещё не собрала чемодан? Поспеши, ведь до поезда всего час!	Ты ещё не собрала чемодан? Будешь спешить, ведь до поезда всего час!	мод	torfl_С1
5	Затем в рекламе показали пару, которая смотрела футбольный матч.	Затем в рекламе показали пару, смотрела футбольный матч которая.	wh_rel	RuConst
6	Исследования показали, что большинство людей могут провести к воде не более 1 минуты.	Исследования показали, что большинство людей могут провести под водой не более 1 минуты.	лекс_предл	torfl_B1
7	Ты можешь пойти в парк, когда закончишь домашнюю работу.	Ты нужен пойти в парк, когда закончишь домашнюю работу.	чр	torfl_B1
8	Зрители долго аплодировали оркестру, руководимому Мстиславом Ростроповичем.	Зрители долго аплодировали оркестру, руководящему Мстиславом Ростроповичем.	залог	torfl_B2
9	А в Белом море плавать не хочу, потому что оно северное, холодное море.	А в Белом море плавать не хочу, потому что оно в северное, холодное море.	коп	torfl_A1
10	Отец всегда учил меня сказать только правду.	Отец всегда учил меня говорить только правду.	вид	torfl_A1
11	"– Вы не знаете, когда начинаются каникулы?
– Я слышал, что в июне после экзаменов."	"– Вы не знаете, что начинаются каникулы?
– Я слышал, что в июне после экзаменов."	союз_подч	torfl_A1
12	Некоторые указывали, что им надоело тратить массу времени на общение в интернете.	Некоторые указывали, что им надоело тратить времени массу на общение в интернете.	WO_QUANT	RuConst
13	Ты помнишь мужчину, которого мы познакомились недавно?	Ты помнишь мужчину, которого мы видели вчера?	упр_глаг	torfl_B1
14	Ты помнишь мужчину, которого мы видели вчера?	Ты помнишь мужчину, которого предлагал нам свою помощь?	упр_глаг	torfl_B1
15	Огромное спасибо лужским и питерским врачам.	Огромно спасибо лужским и питерским врачам.	SHORT_ATR	RuConst
16	Глаза у девушки большими и грустными.	Глаза у девушки большие и грустные.	коп	torfl_B2
17	В этом году они плавают на Север.	В этом году они плывут на Север.	лекс_глаг	torfl_B1
18	Студенты нашего факультета поступали на концерте в университете.	Студенты нашего факультета выступали на концерте в университете.	лекс_глаг	torfl_A1
19	«Что станет с рынком жилья по нескольким месяцам?»	«Что станет с рынком жилья через несколько месяцев?»	лекс_предл	torfl_С1
20	Вчера я была на встрече с известным учёным, с которыми книгами я давно уже была знакома.	Вчера я была на встрече с известным учёным, с чьими книгами я давно уже была знакома.	союз_подч	torfl_B2
21	Это всегда знаменовало мое выздоровление и на следующий день я уже бегал, «как встрепанный».	Это всегда знаменовало я выздоровление и на следующий день я уже бегал, «как встрепанный».	NOMINALIZ_ECM_2	НКРЯ
22	Кто тебе сказал, что я не люблю тюльпаны?	Кто тебе сказал, чтобы я не люблю тюльпаны?	союз_подч	torfl_A2
23	«Пойду посмотрю, как ребята поиграли в футбол», подумал я.	«Пойду посмотрю, как ребята играют в футбол», подумал я.	время	torfl_C2
24	Если бы такие письма получал я, то, наверное, тоже полвека на работу не выходил.	Если бы такие письма получал я, то, наверное, тоже полвека на работу бы не выходил.	COND_2	НКРЯ
25	Если Вам необходимо прописать ручку, используйте оборотную сторону бланка.	Если Вам необходимо расписать ручку, используйте оборотную сторону бланка.	лекс_глаг	torfl_С1
26	Он принялся доказывать, как хорошо будет служить у него.	Он принялся доказывая, как хорошо будет служить у него.	PHASE_CONV	НКРЯ
27	Да, море действительно теплое.	Да, море действительно теплым.	PRED_CASE_ADJ_2	RuConst
28	Этот спортсмен пришел к финишу во-вторых.	Этот спортсмен пришел к финишу вторым.	чр	torfl_B2
29	Скоростную железную дорогу Москва – Казань построят на пять лет.	Скоростную железную дорогу Москва – Казань построят через пять лет.	лекс_предл	torfl_A2
30	— Смотрите не забываете позвонить Петровой, мы же договорились созвониться сегодня вечером.	— Смотрите не забудьте позвонить Петровой, мы же договорились созвониться сегодня вечером.	вид	torfl_C1
31	В состав бургеров входили черная булочка и плавленый черный сыр.	Что в состав бургеров входили черная булочка и?	CoordCon	RuConst
32	На лекции известного учёного я наконец-то смогу задать ему вопрос!	На лекции известного учёного я наконец-то смогу задавать ему вопрос!	вид	torfl_B2
33	"– Мы любим детективы.
– Тогда обязательно смотрите завтра по телевизору сериал «Шерлок»."	"– Мы любим детективы.
– Тогда обязательно смотрели завтра по телевизору сериал «Шерлок»."	мод	torfl_A2
34	Или даже и так:  «Мой-то как зенки зальет, так сразу за ухват либо за кочергу и давай крушить что ни попадя, тарелки в доме целой уж не осталось».	Или даже и так:  «Мой-то зенки зальет, так сразу за ухват либо за кочергу и давай крушить что ни попадя, тарелки в доме целой уж не осталось».	DOUBLE_CONJ	НКРЯ
35	26-летний мужчина прятался в шкафу, где девочка хранит свою одежду.	26-летний мужчина прятался в шкафе, где девочка хранит свою одежду.	GOV_LOC_1	RuConst
36	Высказывались версии, что переменить курс экипаж мог специально.	Кто высказывались версии, что мог специально переменить курс?	np_isl	RuConst
